Mask Mandate,Social Distancing,Mobility Level,Population Density,Cases Per Capita,Current Phase,Future Phase,support,confidence,lift,chi_squared
M,,VL,1,,,Phase 2,0.022857142857142857,0.48000000000000004,1.1858823529411766,1.2335152941176488
M,,VL,1,,Phase 2,Phase 2,0.02,0.7241379310344828,1.7890466531440161,12.626292085276136
,Phase 0,VL,1,,,Phase 2,0.024761904761904763,0.6341463414634146,1.5667144906743184,9.317932012177348
,Phase 0,VL,1,,Phase 2,Phase 2,0.01619047619047619,0.7391304347826086,1.826086956521739,10.912069768426397
M,Phase 0,VL,1,,Phase 2,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
M,Phase 0,VL,1,,,Phase 2,0.005714285714285714,0.6,1.4823529411764704,1.5973303167420805
,Phase 0,VL,1,,,Phase 3,0.010476190476190476,0.2682926829268293,1.3042005420054201,1.022562017586009
,Phase 0,VL,1,,Phase 3,Phase 3,0.004761904761904762,0.5555555555555556,2.7006172839506175,6.799577948912086
M,Phase 0,VL,1,,,Phase 3,0.002857142857142857,0.3,1.4583333333333333,0.549296140011068
M,Phase 0,VL,1,,Phase 3,Phase 3,0.002857142857142857,0.75,3.6458333333333335,7.279981464159457
,Phase 0,VL,1,,Phase 2,Phase 3,0.005714285714285714,0.2608695652173913,1.2681159420289856,0.4378039416821823
N,,VL,1,,,Phase 2,0.024761904761904763,0.5416666666666667,1.3382352941176472,3.9129975343430816
N,Phase 0,VL,1,,,Phase 2,0.01904761904761905,0.7142857142857143,1.7647058823529411,11.439161966156329
N,,VL,1,,Phase 2,Phase 2,0.015238095238095238,0.6666666666666666,1.6470588235294117,6.992776057791538
N,Phase 0,VL,1,,Phase 2,Phase 2,0.011428571428571429,0.6666666666666666,1.6470588235294117,5.214090287277701
N,Phase 0,VL,1,,Phase 3,Phase 3,0.0009523809523809524,0.5,2.430555555555556,1.0620749583539275
N,,VL,1,,Phase 3,Phase 3,0.006666666666666667,0.5,2.430555555555556,7.5206388942899745
N,,VL,1,,,Phase 3,0.014285714285714285,0.3125,1.5190972222222223,3.510329834934449
N,,VL,1,,Phase 2,Phase 3,0.007619047619047619,0.3333333333333333,1.6203703703703702,2.448177909913784
N,Phase 0,VL,1,,,Phase 3,0.006666666666666667,0.25,1.215277777777778,0.3452888374232125
N,Phase 0,VL,1,,Phase 2,Phase 3,0.005714285714285714,0.3333333333333333,1.6203703703703702,1.825458238060714
,,VL,1,L,,Phase 2,0.014285714285714285,0.5357142857142857,1.3235294117647058,2.04754230459307
M,,VL,1,L,,Phase 2,0.0038095238095238095,0.39999999999999997,0.988235294117647,0.0009502262443439027
,Phase 0,VL,1,L,,Phase 2,0.009523809523809525,0.7142857142857143,1.7647058823529411,5.642289348171702
M,Phase 0,VL,1,L,,Phase 2,0.0019047619047619048,0.5,1.2352941176470589,0.15116409852659998
N,,VL,1,L,,Phase 2,0.010476190476190476,0.6875,1.6985294117647058,5.3909716691318685
N,Phase 0,VL,1,L,,Phase 2,0.007619047619047619,0.7999999999999999,1.976470588235294,6.546108597285067
,,VL,1,L,Phase 2,Phase 2,0.009523809523809525,0.9090909090909092,2.2459893048128343,11.735564328102408
N,,VL,1,L,Phase 2,Phase 2,0.005714285714285714,1.0,2.4705882352941178,8.874239350912779
,Phase 0,VL,1,L,Phase 2,Phase 2,0.004761904761904762,1.0,2.4705882352941178,7.388122713200113
N,Phase 0,VL,1,L,Phase 2,Phase 2,0.002857142857142857,1.0,2.4705882352941178,4.424405865498062
M,Phase 0,VL,1,L,Phase 2,Phase 2,0.0019047619047619048,1.0,2.4705882352941178,2.946789402784014
M,,VL,1,L,Phase 2,Phase 2,0.0038095238095238095,0.7999999999999999,1.976470588235294,3.2573937517590763
,,VL,1,L,,Phase 3,0.006666666666666667,0.25,1.215277777777778,0.3452888374232125
,,VL,1,L,Phase 3,Phase 3,0.005714285714285714,0.5454545454545455,2.651515151515152,7.852704624296015
M,,VL,1,L,,Phase 3,0.0038095238095238095,0.39999999999999997,1.9444444444444444,2.3323648773289056
M,,VL,1,L,Phase 3,Phase 3,0.002857142857142857,0.75,3.6458333333333335,7.279981464159457
,Phase 0,VL,1,L,,Phase 3,0.0019047619047619048,0.14285714285714285,0.6944444444444444,0.3431038952621687
,Phase 0,VL,1,L,Phase 3,Phase 3,0.0019047619047619048,0.5,2.430555555555556,2.1282113888239316
